,volumn
volumn,1.0
Hour,0.16886635291615376
ID,0.12388906998268887
demand,0.08711461324509225
segmentID,0.06504228315607997
temperature,0.030916698879977507
cloudcover,0.017668539131419705
windspeed,-0.004775640753810568
weekday,-0.0058880439614209905
rain,-0.010034648426923738
precipitation,-0.01168607902518769
Air_quality,-0.07909488421117346
