street,R2,RMSE,MAE
1 AVENUE,0.23951125662878447,460.8967509890201,381.9362980434138
10 AVENUE,0.0531347321280482,702.3812277902576,578.2917453061355
11 AVENUE,0.14200859648179442,398.5102718468908,330.1018703174869
111 STREET,0.33464196590091255,81.88476496947281,67.22834950710846
12 AVENUE,0.32522026432922846,784.9557319583611,611.8306585500301
14 AVENUE,0.2534545714388655,84.62896499458263,65.80649792995001
145 STREET BRIDGE,0.3117475901630601,264.2054084436502,219.3130771849063
188 STREET,0.3227919829220136,180.44892324656115,146.1368025959158
2 AVENUE,0.16175277283062517,565.7919294493618,451.249955108993
21 STREET,0.36513840548689025,214.75548632409823,173.4804405668143
26 AVENUE,0.23652479168079066,141.10194297792378,119.78941653112669
3 AVENUE,0.04586684228333049,490.6553446577805,387.56741653775424
31 AVENUE,0.1920317649662845,78.89833737990583,60.29292316925307
34 AVENUE,0.3449828669493985,123.97981251949942,99.49406492176568
39 AVENUE,0.07102066452906808,98.39280541729856,82.97763936594157
4 AVENUE,0.09362479061546591,311.550094542838,242.17683336074472
45 AVENUE,0.4009915695208087,76.20162614681546,59.06150947000003
47 AVENUE,0.4443231109292618,41.4605953065859,23.688763158412957
48 STREET,0.5501015108731536,168.75770385456212,129.12933987017172
5 AVENUE,0.14924762503809053,409.91295626206875,341.02437097273383
58 STREET,0.05331291083202028,227.7825860806424,174.55165118365616
65 STREET,0.15699342356531054,277.5409189738841,228.13850726399443
7 AVENUE,0.31193598810094103,505.5325196577454,423.7202952936379
73 PLACE,0.2210835001820578,67.59180959563653,55.30490949453905
8 AVENUE,0.2339786238837963,418.2375651938795,329.87174080519213
80 STREET,0.1572925621752953,220.16793821191237,180.4884297019162
86 STREET,0.24308399175852302,178.78311996938652,140.3115681032761
9 AVENUE,0.34784089948969454,354.7268395004139,292.7911355556197
9 STREET,0.19064498141667774,134.23490033521574,99.18714294539602
AMBOY ROAD,0.16475537343133928,182.87407094875348,149.58717813195923
AMSTERDAM AVENUE,0.11230862685843446,313.46374782060275,232.76674773215913
ARTHUR KILL ROAD,0.1371952525588367,196.82625619971964,158.17046554073588
ASTORIA BOULEVARD,0.10912665803177501,538.170083399657,405.90914179728725
ATLANTIC AVENUE,0.17896117103286702,337.804755913434,267.9549911922838
AUDUBON AVENUE,0.21628888607083874,50.337246137029595,38.9647177052599
AVENUE D,0.29219037604949594,77.45882633608919,65.36479808882198
AVENUE J,0.2366534008951855,96.94230893814718,74.7074730191489
AVENUE M,0.20285543333412437,128.42481566531598,88.5084005801303
AVENUE OF THE AMERICAS,0.21367200270043052,451.7500806037075,389.71917644062785
BAY PARKWAY,0.2271169434274075,214.90461871364997,173.43781631970813
BEACH 20 STREET,0.35464767465901037,136.737763823446,113.99399859120648
BEDFORD AVENUE,0.1515132357575989,231.63554616814469,155.14244494234032
BEDFORD PARK BOULEVARD,0.32278537907326355,81.04317766488026,67.93909954561624
BELT PARKWAY,0.2465915339295729,1116.660311681944,948.9543709318373
BORDEN AVENUE BRIDGE,0.0748133712973107,208.12655534413275,176.54570368950104
BOSTON ROAD,0.10816133921299753,347.176363025769,243.21375526143183
BROADWAY,0.14782132895160927,255.74989372447172,201.50136068819606
BROADWAY BRIDGE,0.20360920287700568,403.90344897195,344.72357515559446
BRONXWOOD AVENUE,0.3229544345641018,74.23975657217136,54.21239195320104
BROOKLYN QUEENS EXPRESSWAY,0.2671415856536211,903.4030593279788,719.768056363062
BRUCKNER BOULEVARD,0.17894667018343446,387.4501680843701,315.4554750868035
BUSHWICK AVENUE,0.33844740494421477,326.0924161846707,263.48719227010093
CENTRAL AVENUE,0.19665706107790504,168.52339621767888,136.9283892624314
CENTRAL PARK SOUTH,0.31137900558542053,199.90149135084337,164.1832630987357
CENTRAL PARK WEST,0.29815217066085464,200.64979428840266,163.2556569518392
CHRYSTIE STREET,0.11459712970501124,194.20081520177686,163.1052002170718
CHURCH AVENUE,0.1927625493760048,100.07181049558137,81.28302258542502
COLUMBIA STREET,0.22040235828728194,117.84702877375358,95.33494200119968
COLUMBUS AVENUE,0.33894166885786914,301.8047054549951,247.4484378094527
COOPER AVENUE,0.18346289262583337,169.27812339133735,131.64159966460352
CORTELYOU ROAD,0.24763860466531284,82.79742517558347,65.65029645039594
CRESCENT STREET,0.21856055928828244,150.06705630607777,119.97300905368465
CROPSEY AVENUE,0.4126257077102877,248.09894269503226,192.99644446541924
CROPSEY AVENUE BRIDGE,0.2351319684240576,310.99908230039813,265.5921279519396
CROSS BAY BOULEVARD,0.1611776823339658,281.6112618594517,214.47305367406153
DEKALB AVENUE,0.3039203701617331,54.46887460965793,45.521182518112035
DYCKMAN STREET,0.24282733750554153,93.03557214754609,78.91876768867483
EAST 138 STREET,0.405297080885768,201.12523427369024,147.73830774628243
EAST 149 STREET,0.25696552725766597,173.75087855308763,146.4970455676104
EAST 161 STREET,0.21703549774314457,136.82153159165622,105.74924004281493
EAST 163 STREET,0.27173884066173704,172.59107480314447,133.55593145443342
EAST 174 ST BRIDGE,0.19457494193409475,192.07062431831866,150.1292821158737
EAST FORDHAM ROAD,0.14106218796718328,598.8503973473497,500.9059801330975
EAST GUN HILL ROAD,0.20155029662156576,324.32970850138526,263.7683027213278
EAST TREMONT AVENUE,0.08944064251887807,218.07360554780422,180.20638355437615
EMMONS AVENUE,0.31059267087360554,284.74898357893267,226.45019056143144
F D R DRIVE,0.3490485426783604,952.727126210489,767.3432786662422
FLATBUSH AVENUE,0.20159659011519437,281.60563442337764,234.88897536108294
FLATLANDS AVENUE,0.32379339304366905,246.50213199211973,210.37312438346174
FLUSHING AVENUE,0.17118918846825848,192.2308501643111,151.94242690386616
FREDERICK DOUGLASS BOULEVARD,0.22348618221749628,114.35053220897264,90.27610883143345
FRESH KILLS BRIDGE,0.1382445384142117,738.1278385877976,628.9119974609154
FT HAMILTON PARKWAY,0.24656348240462977,181.56551484955347,144.96076817091483
FULTON STREET,0.256157190038796,108.51869445268407,85.66216323918594
GRAND CONCOURSE,0.17478059578154193,200.9042517838499,153.82905595608227
GRAND STREET BRIDGE,0.16727141023434966,151.28459622081786,119.12622171101505
HAMILTON AVENUE BRIDGE,0.4219571069785545,1249.2466666936537,1004.0944896840797
HICKS STREET,0.05879474946396146,298.47646712362814,234.5272872570828
HILLSIDE AVENUE,0.1799006596228192,381.53836238270816,277.62889543405987
HOLLIS COURT BOULEVARD,0.10720381950419822,143.10902267869383,121.86372397518052
HOOK CREEK BRIDGE,0.25938090052145213,598.9280517823831,516.8883517430097
HUGUENOT AVENUE,0.10447393354976298,136.95734685286757,114.57550873490379
HUNTS POINT AVENUE,0.15424906923208226,184.9199369975744,146.81753456744573
HYLAN BOULEVARD,0.15049858893499846,378.5546059614938,301.57651843452715
JACKIE ROBINSON PARKWAY,0.3694433989606033,671.896846496221,548.4204051800685
JACKSON AVENUE,0.5570904645820671,110.17834543769231,77.023161199706
JAMAICA AVENUE,0.19974743059159306,189.50037417777844,142.8962337842608
JEROME AVENUE,0.17843575099070674,150.12986693992812,113.27460276236273
