street,R2,RMSE,MAE
1 AVENUE,0.44172108352839545,394.8961185664639,318.8234535362299
10 AVENUE,0.36848916549315314,573.6132909444682,415.9400079883628
11 AVENUE,0.14212717942762199,398.4827318536417,329.29156589273754
111 STREET,0.3480350950088644,81.05643772457293,66.22858487703034
12 AVENUE,0.32522026432922835,784.9557319583612,611.8306585500302
14 AVENUE,0.2293563329951782,85.98401414872387,68.26564180411025
145 STREET BRIDGE,0.3117475901630601,264.2054084436502,219.31307718490626
188 STREET,0.40896689496256,168.57732307908307,132.57007946643714
2 AVENUE,0.2037863289054972,551.4237922682765,450.9884265869422
21 STREET,0.5568439752342831,179.42504701849077,138.6209333350628
26 AVENUE,0.23652479168079066,141.10194297792378,119.78941653112669
3 AVENUE,0.22317854535334458,442.72357165231205,331.2993367532319
31 AVENUE,0.19637023098253614,78.68622601283359,60.14410070091954
34 AVENUE,0.366678625962224,121.90926644607886,97.4571840617901
39 AVENUE,0.26288807282821913,87.64497794053644,70.55841275867984
4 AVENUE,0.09362479061546591,311.550094542838,242.17683336074472
45 AVENUE,0.481836613364795,70.87305168440078,54.54978800958126
47 AVENUE,0.4083382540010737,42.782002785683694,22.498694177747993
48 STREET,0.563165063624812,166.2895746591082,123.59781504524308
5 AVENUE,0.31256133080726756,368.4741616099112,295.8841387500372
58 STREET,0.082950715348873,224.18865443740958,171.77871936218023
65 STREET,0.15699342356531054,277.5409189738841,228.13850726399443
7 AVENUE,0.611724618869119,379.7559644126546,305.5928666611368
73 PLACE,0.2210835001820577,67.59180959563653,55.30490949453903
8 AVENUE,0.6756495372621082,272.15094963975974,207.24295972819243
80 STREET,0.15729256217529552,220.16793821191234,180.48842970191617
86 STREET,0.2973845489306597,172.2509059638607,132.03052960993764
9 AVENUE,0.34746535553471813,354.82895901980237,293.0565530546787
9 STREET,0.23952946621570492,130.11791877648793,95.49568334090995
AMBOY ROAD,0.16475537343133928,182.87407094875348,149.58717813195923
AMSTERDAM AVENUE,0.23054242297010052,291.84258432904517,208.9863359616865
ARTHUR KILL ROAD,0.2254075055815511,186.4933761145153,146.81035729837978
ASTORIA BOULEVARD,0.10912665803177501,538.170083399657,405.9091417972873
ATLANTIC AVENUE,0.20607402384834372,332.1803338718106,260.4721671194819
AUDUBON AVENUE,0.21628888607083863,50.3372461370296,38.96471770525989
AVENUE D,0.29219037604949616,77.45882633608919,65.36479808882198
AVENUE J,0.46586804069251964,81.09176516863195,63.421057531383674
AVENUE M,0.24435546733197178,125.03718223155207,88.54052721295025
AVENUE OF THE AMERICAS,0.22574911964886035,448.2674690839072,388.24273605803927
BAY PARKWAY,0.22711694342740785,214.9046187136499,173.43781631970813
BEACH 20 STREET,0.35464767465901037,136.737763823446,113.99399859120648
BEDFORD AVENUE,0.2718958939976752,214.5751426432095,151.18340372924067
BEDFORD PARK BOULEVARD,0.32278537907326366,81.04317766488025,67.93909954561624
BELT PARKWAY,0.246591533929573,1116.6603116819438,948.9543709318372
BORDEN AVENUE BRIDGE,0.0748133712973108,208.12655534413275,176.54570368950104
BOSTON ROAD,0.12090733864769665,344.68654359781226,241.1236931730375
BROADWAY,0.16076982859748123,253.79944981032395,200.4396509383219
BROADWAY BRIDGE,0.20360920287700557,403.90344897195007,344.72357515559446
BRONXWOOD AVENUE,0.5784239924957724,58.58218062603055,42.916041455610504
BROOKLYN QUEENS EXPRESSWAY,0.2671415856536211,903.4030593279788,719.7680563630621
BRUCKNER BOULEVARD,0.18070781195975316,387.0344088672412,314.6087421102308
BUSHWICK AVENUE,0.4096601637701255,308.0417310385317,237.69919666504777
CENTRAL AVENUE,0.19665706107790515,168.52339621767885,136.92838926243138
CENTRAL PARK SOUTH,0.31137900558542053,199.90149135084337,164.18326309873572
CENTRAL PARK WEST,0.29815217066085464,200.64979428840266,163.2556569518392
CHRYSTIE STREET,0.11459712970501124,194.20081520177686,163.1052002170718
CHURCH AVENUE,0.20423991094535676,99.35784943387135,80.75596575790561
COLUMBIA STREET,0.22849620963358408,117.23368355565097,93.78424155511728
COLUMBUS AVENUE,0.33894166885786925,301.8047054549951,247.44843780945266
COOPER AVENUE,0.38334548566535886,147.10716650570382,113.68194625408351
CORTELYOU ROAD,0.24763860466531307,82.79742517558346,65.65029645039593
CRESCENT STREET,0.21856055928828244,150.06705630607777,119.97300905368468
CROPSEY AVENUE,0.4126257077102877,248.09894269503226,192.9964444654193
CROPSEY AVENUE BRIDGE,0.23513196842405748,310.9990823003982,265.5921279519396
CROSS BAY BOULEVARD,0.1611776823339658,281.6112618594517,214.47305367406153
DEKALB AVENUE,0.3620254709910822,52.14595313147697,43.103019202629305
DYCKMAN STREET,0.24282733750554153,93.03557214754609,78.91876768867485
EAST 138 STREET,0.4580927279605317,191.99018069488443,142.15666506471132
EAST 149 STREET,0.25696552725766597,173.75087855308763,146.4970455676104
EAST 161 STREET,0.33398913742628666,126.1897464090234,96.28991692798364
EAST 163 STREET,0.34437196132320047,163.7583743647183,131.61450578988223
EAST 174 ST BRIDGE,0.19457494193409486,192.07062431831864,150.1292821158737
EAST FORDHAM ROAD,0.35132218668666526,520.4176332248677,416.20973480801865
EAST GUN HILL ROAD,0.5347484826037819,247.5750348805805,189.76893443267406
EAST TREMONT AVENUE,0.08944064251887807,218.07360554780422,180.20638355437615
EMMONS AVENUE,0.30698016286418073,285.4940539549531,227.10633002037792
F D R DRIVE,0.3490485426783605,952.7271262104889,767.3432786662422
FLATBUSH AVENUE,0.41683884042172104,240.67137760844923,198.90433460436427
