Boro,street,RMSE,MAE,R2
BRONX,LAFAYETTE AVENUE,140.92908624898936,114.89805086872033,0.3576074646562558
BRONX,LONGWOOD AVENUE,95.06487168177783,71.10005550236664,0.41163238673711966
BRONX,MAJOR DEEGAN EXPRESSWAY,775.6899938749717,578.3729520357572,0.5044219285461494
BRONX,PELHAM BRIDGE,203.1575844887568,147.47134958902996,0.6063963096962243
BRONX,PELHAM PARKWAY,229.35954662429134,160.7678425347627,0.6881111078542524
BRONX,PELHAM PARKWAY SOUTH,65.36086080575177,50.05697189142675,0.7825136782769655
BRONX,PROSPECT AVENUE,55.16864489956148,43.17119387347435,0.6035685850938375
BRONX,RANDALL AVENUE,709.7850740151302,551.9229564223178,0.12070604318519673
BRONX,RIVER AVENUE,47.678611193169665,36.280591740713014,0.76592077913396
BRONX,SEDGWICK AVENUE,103.04867922453465,70.48478697851408,0.5406278090080325
BRONX,SOUTHERN BLVD,58.770336408409584,44.67302401082499,0.5649034202298548
BRONX,SOUTHERN BOULEVARD,297.8662180281132,210.83832724489758,0.2290142323237223
BRONX,VAN CORTLANDT PARK EAST,53.80318999676985,41.40021313753995,0.633642313412656
BRONX,WASHINGTON AVENUE,71.14987580092001,54.728068046569824,0.5742537613629352
BRONX,WEBSTER AVENUE,121.56685961769058,96.01125458042189,0.5756698338339066
BRONX,WESTCHESTER AVENUE,105.73612128527729,79.58509727817798,0.7531504028830078
BRONX,WESTCHESTER AVENUE BRIDGE,147.91854918328502,116.94771173498133,0.7042913940948436
BRONX,WHITE PLAINS ROAD,78.602146089675,61.24110023533586,0.5676620609727437
BRONX,BEDFORD PARK BOULEVARD,57.29215793599184,41.12785279473593,0.6651327871131103
BRONX,BOSTON ROAD,278.18957635649366,150.93601311669235,0.4610431290184779
BRONX,BROADWAY,141.86367633940927,98.16913561235394,0.4985760097827733
BRONX,BRONXWOOD AVENUE,40.59384250606416,28.167562032666275,0.8008193313291092
BRONX,BRUCKNER BOULEVARD,343.9858256724424,248.98182370112494,0.3725474434251971
BRONX,EAST 138 STREET,215.17716433370398,147.7164738682338,0.3455286378742112
BRONX,EAST 149 STREET,130.16667130675555,100.07239804949079,0.5627354345059621
BRONX,EAST 161 STREET,117.88527041941546,81.91377431259347,0.423954035331072
BRONX,EAST 163 STREET,110.6903001544255,84.04893882319612,0.697704419851563
BRONX,EAST 174 ST BRIDGE,138.67063507449083,91.65680109434774,0.5920709358160549
BRONX,EAST FORDHAM ROAD,387.5314051771176,283.5925361996605,0.6945096025845687
BRONX,EAST GUN HILL ROAD,145.77158043385188,102.81904843089345,0.8405301489797539
BRONX,EAST TREMONT AVENUE,192.57450361716946,153.5995835913233,0.3343768367217803
BRONX,GRAND CONCOURSE,155.77898593185327,102.80596480693839,0.5707075155172834
BRONX,HUNTS POINT AVENUE,161.05783399824435,133.08519171189891,0.3186436096695663
BRONX,JACKSON AVENUE,33.58907679909955,25.919240923070195,0.48422305133996724
BRONX,JEROME AVENUE,124.48737373772188,86.78768131406567,0.49905518692288
BROOKLYN,1 AVENUE,278.2931006986991,208.01120795394073,0.7383384844529342
BROOKLYN,26 AVENUE,142.4682117441891,117.23875024695145,0.26353379729017157
BROOKLYN,KINGS HIGHWAY,106.02045644654856,69.92940368783742,0.7095901608623323
BROOKLYN,LINDEN BOULEVARD,306.9123877538962,245.76808849414746,0.294807324835358
BROOKLYN,3 AVENUE,233.5169678590163,145.21382926843418,0.7837635917742788
BROOKLYN,METROPOLITAN AVENUE,140.02872900782953,102.22025563166692,0.5720608631382953
BROOKLYN,MYRTLE AVENUE,75.51236657249912,56.65737414524473,0.5625836405364948
BROOKLYN,NEPTUNE AVENUE,146.7055322177149,107.5314728189022,0.5578765746993781
BROOKLYN,NEW YORK AVENUE,78.89755385591118,60.91398283492687,0.3732052926477183
BROOKLYN,NORTH CONDUIT AVENUE,377.0962089675888,286.7299118041992,0.44464084114505353
BROOKLYN,OCEAN AVENUE,177.50846477481767,128.86104001887577,0.5553638029649484
BROOKLYN,OCEAN PARKWAY,323.6767353369696,223.00931955718994,0.41115990481727505
BROOKLYN,PENNSYLVANIA AVENUE,242.21260734993467,180.09596696089017,0.2671848754870201
BROOKLYN,PROSPECT AVENUE,244.142425516728,209.25778829640356,0.28699855125811113
BROOKLYN,PULASKI BRIDGE,263.87074903238516,196.65887151979933,0.3602162506542401
BROOKLYN,RALPH AVENUE,108.65965594218501,80.67581031959094,0.8028483028295227
BROOKLYN,REMSEN AVENUE,81.956822695434,63.36277984505269,0.6023152523141183
BROOKLYN,4 AVENUE,252.15885977227515,169.11487712244835,0.4557033183026272
BROOKLYN,SMITH STREET,108.96797712734853,81.09992405012542,0.3692585107567963
BROOKLYN,STATE STREET,113.5469393581805,86.19014625178957,0.5271251923859004
BROOKLYN,SURF AVENUE,215.38461895056946,189.85599517822266,-0.033263870083958924
BROOKLYN,SUTTER AVENUE,58.442867961319436,44.32498082054986,0.7359646325119501
BROOKLYN,TOMPKINS AVENUE,197.6513369471389,146.270837018279,0.3597437858453909
BROOKLYN,WASHINGTON AVENUE,171.88290833329242,107.93319030991174,0.2691580243982198
BROOKLYN,5 AVENUE,235.89270081970406,161.22111916178451,0.7284285377067969
BROOKLYN,58 STREET,257.3499188309641,181.56115725848466,0.21460948869316698
BROOKLYN,65 STREET,177.45009669403174,133.82084335819368,0.6377037856775399
BROOKLYN,86 STREET,149.14144907831096,101.4417561181701,0.4956074409048721
BROOKLYN,9 AVENUE,328.2633933640432,268.2154309618604,0.42402209764351195
